month,id,type,location_x,location_y,revenue,opex,profit
32,res_48,commercial,130.8072271,91.19494098,1.00462582692237,0.32,0.68462582692237
32,res_49,commercial,114.86763394,88.75991126,1.0033978725373636,0.32,0.6833978725373635
32,com_18,commercial,124.74465218,83.24225682,1.0810802810665456,0.32,0.7610802810665456
32,com_19,commercial,122.8203181,82.69733634,1.0796231106218022,0.32,0.7596231106218021
32,com_20,commercial,120.89598401,82.15241587,1.0807155781680844,0.32,0.7607155781680843
32,com_21,commercial,114.31126414,116.70986317,1.0774455422482183,0.32,0.7574455422482183
32,com_22,commercial,115.87419199,118.06901469,1.0821760337883513,0.32,0.7621760337883512
32,res_50,commercial,126.41363845,92.02943412,1.005241188122203,0.32,0.6852411881222029
32,res_51,commercial,104.17688813,108.99057772,1.0027852765843064,0.32,0.6827852765843063
32,res_52,commercial,111.47926784,126.14256839,1.0033978725373633,0.32,0.6833978725373633
32,res_53,commercial,104.83741975,106.89206947,1.0080217745344084,0.32,0.6880217745344084
32,res_54,commercial,104.44696829,115.45999401,1.0027852765843064,0.32,0.6827852765843063
32,res_55,commercial,116.70624549,119.73042276,1.0752777593732767,0.32,0.7552777593732767
32,com_23,commercial,126.66898627,83.7871773,1.0734787169436983,0.32,0.7534787169436983
32,com_24,commercial,118.97164992,81.60749539,1.0734787169436983,0.32,0.7534787169436983
32,com_25,commercial,112.16935538,109.1770589,1.0716864141097557,0.32,0.7516864141097557
32,res_56,commercial,135.16659091,75.80026829,1.0677669469568336,0.32,0.7477669469568335
32,res_57,commercial,114.83340909,74.19973171,1.0677669469568336,0.32,0.7477669469568335
32,res_58,commercial,134.62167043,77.72460238,1.0649366844013444,0.32,0.7449366844013443
32,res_59,commercial,134.07674995,79.64893647,1.0659960416109173,0.32,0.7459960416109173
32,res_60,commercial,115.66790223,78.59332036,1.0691884646038674,0.32,0.7491884646038673
32,res_61,commercial,117.04731584,81.06257492,1.0681219263211659,0.32,0.7481219263211658
32,res_62,commercial,131.06257492,82.95268416,1.0681219263211659,0.32,0.7481219263211658
32,res_63,commercial,128.59332036,84.33209777,1.0691884646038674,0.32,0.7491884646038673
32,res_64,commercial,110.84829214,113.37407541,1.0677669469568336,0.32,0.7477669469568335
32,res_65,commercial,118.63329629,122.13349436,1.0667036062529525,0.32,0.7467036062529524
32,res_66,commercial,123.28501172,121.3308489,1.0734787169436983,0.32,0.7534787169436983
32,res_67,commercial,125.93188595,120.24919295,1.0720443367222845,0.32,0.7520443367222844
32,res_68,commercial,114.61145174,119.76878737,1.0681219263211656,0.32,0.7481219263211656
32,com_26,commercial,124.19973171,85.16659091,1.067766946956834,0.32,0.747766946956834
32,com_27,commercial,122.27539762,84.62167043,1.0649366844013448,0.32,0.7449366844013448
32,com_28,commercial,120.35106353,84.07674995,1.0659960416109178,0.32,0.7459960416109177
32,com_29,commercial,111.50882376,111.27556715,1.0745573320299866,0.32,0.7545573320299865
32,com_30,commercial,112.79738129,118.21141066,1.0681219263211656,0.32,0.7481219263211656
32,res_69,commercial,110.38636366,116.27621143,1.0551635454673542,0.32,0.7351635454673542
32,res_70,commercial,110.22108521,114.88656542,1.0575876065941117,0.32,0.7375876065941116
32,res_71,commercial,125.38538444,121.98542768,1.0624741085955993,0.32,0.7424741085955993
32,res_72,commercial,120.53056504,122.75426244,1.0607230313082203,0.32,0.7407230313082203
32,res_73,commercial,116.85965518,121.7673714,1.0624741085955993,0.32,0.7424741085955993
32,com_36,commercial,126.12406579,85.71151138,1.0603736038253133,0.32,0.7403736038253133
32,com_37,commercial,118.42672945,83.53182948,1.0575876065941117,0.32,0.7375876065941116
32,com_38,commercial,110.71091714,108.72253827,1.0649366844013444,0.32,0.7449366844013443
32,com_39,commercial,110.05038552,110.82104653,1.0603736038253126,0.32,0.7403736038253126
32,com_54,commercial,123.65481123,87.09092499,1.0524087417838912,0.32,0.7324087417838911
32,com_55,commercial,121.73047715,86.54600452,1.0496704315862837,0.32,0.7296704315862836
32,com_56,commercial,119.80614306,86.00108404,1.0520655530527279,0.32,0.7320655530527278
32,com_57,commercial,122.63093775,123.40884122,1.059326893779965,0.32,0.7393268937799649
32,com_58,commercial,109.38985391,112.91955478,1.0524087417838905,0.32,0.7324087417838905
32,res_74,commercial,135.45616357,82.11819103,1.0510375311857247,0.32,0.7310375311857247
32,res_75,commercial,121.91768597,125.39558884,1.0439058358234585,0.32,0.7239058358234585
32,res_76,commercial,107.71710194,112.39824353,1.0442428972021471,0.32,0.7242428972021471
32,res_77,commercial,108.73918127,117.13620417,1.0442428972021471,0.32,0.7242428972021471
32,res_78,commercial,111.84475715,121.12075926,1.0466094245397026,0.32,0.7266094245397026
32,res_79,commercial,119.88609753,124.80173503,1.0439058358234585,0.32,0.7239058358234585
32,res_80,commercial,124.73131046,124.06341999,1.04728786232338,0.32,0.7272878623233798
32,res_81,commercial,117.96605679,124.2340126,1.049670431586283,0.32,0.729670431586283
32,com_64,commercial,125.57914532,87.63584547,1.0439058358234594,0.32,0.7239058358234594
32,com_65,commercial,127.5034794,88.18076594,1.0412184339289765,0.32,0.7212184339289764
32,com_66,commercial,117.88180897,85.45616357,1.0510375311857252,0.32,0.7310375311857251
32,com_67,commercial,129.97273397,86.80135233,1.0442428972021476,0.32,0.7242428972021475
32,com_68,commercial,109.03816518,108.20122702,1.04728786232338,0.32,0.7272878623233798
32,com_69,commercial,108.37763356,110.29973527,1.0428961684383848,0.32,0.7228961684383848
32,com_70,commercial,108.76431967,114.8889024,1.049670431586283,0.32,0.729670431586283
32,com_86,commercial,123.10989076,89.01525908,1.0339107528043128,0.32,0.7139107528043127
32,com_87,commercial,121.18555667,88.4703386,1.0388801593148669,0.32,0.7188801593148668
32,com_88,commercial,119.26122258,87.92541813,1.0322666793027597,0.32,0.7122666793027597
32,com_89,commercial,124.04791543,125.60933122,1.0322666793027588,0.32,0.7122666793027588
32,com_90,commercial,113.51648104,123.78512496,1.0362228469296608,0.32,0.7162228469296608
32,com_101,commercial,125.03422484,89.56017955,1.0257517448974902,0.32,0.7057517448974902
32,com_102,commercial,108.91091412,120.22606145,1.0312831929967041,0.32,0.7112831929967041
32,com_103,commercial,106.93779246,107.54664824,1.0299753183353322,0.32,0.7099753183353321
32,com_104,commercial,106.27726085,109.6451565,1.024460453869616,0.32,0.704460453869616
32,com_111,commercial,131.35214758,89.2706069,1.0234945268203794,0.32,0.7034945268203794
32,com_112,commercial,133.82140214,87.89119329,1.0177444214959441,0.32,0.6977444214959441
32,com_113,commercial,112.10880671,83.82140214,1.0177444214959441,0.32,0.6977444214959441
32,com_114,commercial,111.14849284,124.08348725,1.0196524972577017,0.32,0.6996524972577016
32,com_115,commercial,119.21218512,127.52834513,1.014583330286198,0.32,0.6945833302861979
32,com_129,commercial,133.27648166,89.81552737,1.0055492153304428,0.32,0.6855492153304428
32,com_130,commercial,110.18447263,83.27648166,1.0055492153304428,0.32,0.6855492153304428
32,com_131,commercial,106.82205669,120.57327756,1.0092636332851597,0.32,0.6892636332851596
32,com_132,commercial,115.66782451,127.91502652,1.0080217745344084,0.32,0.6880217745344084
32,com_138,commercial,128.33797254,92.57435459,0.9922123876065957,0.32,0.6722123876065957
32,com_139,commercial,103.51635651,111.08908597,1.005241188122199,0.32,0.6852411881221989
32,com_140,commercial,113.90910636,128.06774782,1.000648418708596,0.32,0.6806484187085959
32,com_141,commercial,107.03114574,122.6558376,0.9970112550942992,0.32,0.6770112550942993
32,com_142,commercial,123.47744881,129.44514352,1.0043184925840187,0.32,0.6843184925840187
32,com_143,commercial,115.85814904,130.10677846,0.9874708105685739,0.32,0.6674708105685738
32,com_144,commercial,111.51191314,128.27591219,0.9910216492275301,0.32,0.67102164922753
32,com_153,commercial,114.09943089,130.25949976,0.980464370543607,0.32,0.6604643705436071
32,com_154,commercial,101.4159838,110.4345072,0.9715992038299569,0.32,0.651599203829957
32,com_155,commercial,107.39963322,126.29131395,0.9750064316606831,0.32,0.6550064316606832
32,com_156,commercial,123.66777334,131.63689547,0.9701885587372359,0.32,0.6501885587372358
32,com_157,commercial,100.24622286,114.15083646,0.9601867088898428,0.32,0.6401867088898427
32,com_158,commercial,102.49105515,121.673928,0.9558274630273468,0.32,0.6358274630273468
32,com_159,commercial,116.04847357,132.2985304,0.9657099084520422,0.32,0.6457099084520421
32,com_160,residential,114.28975542,132.4512517,0.564171755449139,0.2,0.364171755449139
32,com_161,residential,99.59214889,116.22882878,0.5628896300929398,0.2,0.3628896300929398
32,com_162,residential,118.04209662,134.33368983,0.5572143969027279,0.2,0.3572143969027279
32,com_163,residential,105.65299453,128.78468141,0.5539739792201814,0.2,0.3539739792201814
32,com_164,residential,114.48007995,134.64300364,0.5444076728186591,0.2,0.3444076728186591
32,com_165,residential,109.73191035,132.84703998,0.5467563393346643,0.2,0.34675633933466427
32,com_166,residential,102.65585533,128.47781867,0.5441160678738123,0.2,0.34411606787381227
32,com_167,residential,108.03326372,132.99454486,0.5397941208960092,0.2,0.3397941208960092
32,com_168,residential,97.67580042,122.31706583,0.537106799964266,0.2,0.337106799964266
32,com_169,residential,109.92223488,135.03879192,0.5341808542814692,0.2,0.3341808542814692
32,com_174,residential,99.23441937,132.0202564,0.5045152566295099,0.2,0.3045152566295099
