idx,agent,size,slots,lp_norm,cost,reward,prestige,score
143,EDU,L,s_234,0.8066364796822134,1.8453091837457707,0.5543113061484775,0.6506636479682214,0.6541762472347
158,EDU,L,s_53,0.8066364796822134,1.8453091837457707,0.5543113061484775,0.6506636479682214,0.6541762472347
145,EDU,L,s_63,0.8061742546814475,1.844939403745158,0.5541781853482568,0.6506174254681448,0.6541206620947969
164,EDU,L,s_311,0.799418236634621,1.8395345893076969,0.5522324521507708,0.6499418236634622,0.6533082131625693
175,EDU,L,s_344,0.799418236634621,1.8395345893076969,0.5522324521507708,0.6499418236634622,0.6533082131625693
151,EDU,L,s_121,0.7979436758104282,1.8383549406483426,0.5518077786334032,0.6497943675810429,0.6531308889815478
144,EDU,L,s_288,0.794627217498496,1.8357017739987969,0.5508526386395668,0.6494627217498496,0.6527320663325211
135,EDU,L,s_89,0.7941147077674405,1.8352917662139525,0.5507050358370228,0.6494114707767441,0.6526704341727392
120,EDU,L,s_233,0.7936724664121173,1.8349379731296938,0.5505776703266897,0.6493672466412118,0.6526172521778971
177,EDU,L,s_27,0.7936724664121173,1.8349379731296938,0.5505776703266897,0.6493672466412118,0.6526172521778971
140,EDU,L,s_299,0.790815093744353,1.8326520749954824,0.5497547469983736,0.6490815093744353,0.6522736371435958
139,EDU,L,s_120,0.7890100853402248,1.8312080682721799,0.5492349045779847,0.6489010085340225,0.652056574794083
174,EDU,L,s_126,0.7885350616785306,1.8308280493428244,0.5490980977634168,0.6488535061678531,0.6519994505436661
130,EDU,L,s_92,0.7884802814662333,1.8307842251729867,0.5490823210622751,0.6488480281466233,0.6519928629169488
159,EDU,L,s_24,0.7879680130296525,1.830374410423722,0.5489347877525399,0.6487968013029654,0.6519312597741762
149,EDU,L,s_125,0.7870319863103895,1.8296255890483115,0.5486652120573922,0.648703198631039,0.6518186973293557
122,EDU,L,s_79,0.7865576302015949,1.829246104161276,0.5485285974980593,0.6486557630201596,0.6517616533559064
131,EDU,L,s_102,0.7865255341749182,1.8292204273399346,0.5485193538423764,0.6486525534174918,0.651757793629301
124,EDU,L,s_14,0.7860756586504609,1.8288605269203688,0.5483897896913327,0.6486075658650462,0.6517036935829501
125,EDU,L,s_271,0.7860756586504609,1.8288605269203688,0.5483897896913327,0.6486075658650462,0.6517036935829501
163,EDU,L,s_37,0.7860756586504609,1.8288605269203688,0.5483897896913327,0.6486075658650462,0.6517036935829501
148,EDU,L,s_106,0.781014439263438,1.8248115514107504,0.5469321585078701,0.6481014439263438,0.6510950536624739
136,EDU,L,s_114,0.7809217050969368,1.8247373640775495,0.5469054510679178,0.6480921705096938,0.6510839018606237
132,EDU,L,s_327,0.7804258323689703,1.8243406658951762,0.5467626397222634,0.6480425832368971,0.6510242703934541
