slot_id,x,y,angle_deg
s_388,111.450531,132.993489,196.93
s_389,132.177849,142.614423,6.30
s_390,113.544692,133.375118,194.88
s_391,127.557830,142.141798,8.11
s_392,114.872611,130.049994,191.72
s_393,134.231759,141.694659,9.18
s_394,117.841273,133.106267,193.37
s_395,93.487580,102.401500,199.04
s_396,99.081829,107.840559,198.87
s_397,102.852039,105.227703,201.04
s_398,89.701182,106.030365,185.70
s_399,104.963535,113.011049,190.05
s_400,91.567024,108.324224,186.10
s_401,105.218549,108.139108,206.74
s_402,106.107395,104.749371,204.73
s_403,99.498469,104.337537,195.82
s_404,98.010290,103.767677,199.52
s_405,98.478566,109.155737,196.28
s_406,104.768318,106.010565,203.65
s_407,90.833084,109.396820,182.27
s_408,100.708452,105.105060,199.76
s_409,91.574795,104.848771,190.93
s_410,91.382061,106.630327,188.03
s_411,110.629056,106.706253,214.59
s_412,95.840102,103.763833,193.14
s_413,102.390019,103.531746,204.37
s_414,95.016112,110.518697,185.98
s_415,101.139623,108.133799,200.09
s_416,108.036589,113.487099,199.60
s_417,97.156741,102.315874,201.52
s_418,97.065915,108.649260,200.95
s_419,93.254439,105.534482,190.09
s_420,93.916699,103.820356,188.45
s_421,90.074674,104.103029,186.88
s_422,107.697166,105.149756,200.97
s_423,94.877261,108.853079,196.79
s_424,86.210501,104.188379,182.14
s_425,104.400046,104.043946,199.00
s_426,96.580015,110.030197,190.85
s_427,86.321086,106.145809,181.46
s_428,108.893607,106.155584,205.38
s_429,96.113678,107.259067,195.36
s_430,95.128166,105.484881,193.19
s_431,101.726660,111.756933,199.62
s_432,101.796629,106.567709,199.94
s_433,104.768859,111.293114,205.75
s_434,103.331549,112.113298,201.93
s_435,91.679799,102.352766,188.93
s_436,94.303931,107.147951,192.10
s_437,102.004376,110.065650,199.95
s_438,89.360672,109.749630,179.16
s_439,99.841645,111.202235,204.40
s_440,88.770022,107.551682,185.98
s_441,93.122308,110.108326,196.02
s_442,92.926627,107.805914,188.58
s_443,103.039557,108.911815,202.49
s_444,96.966153,105.377790,195.04
s_445,103.552111,107.273085,199.92
s_446,98.115976,106.471598,198.16
s_447,100.210852,109.600359,201.10
s_448,107.051389,106.859499,201.74
s_449,99.939857,106.566497,200.91
s_450,87.151794,107.586473,183.95
s_451,106.587035,113.690759,208.77
s_452,97.851723,111.112726,191.92
s_453,104.813114,109.757759,205.55
s_454,100.341826,102.809993,191.72
s_455,87.891016,104.940007,185.88
s_456,96.137921,112.759014,197.59
s_457,84.987450,118.174806,182.81
s_458,85.904786,116.513450,182.94
s_459,103.509207,116.394566,200.94
s_460,95.340169,114.712222,199.55
s_461,93.528242,118.888034,190.08
s_462,99.023763,115.055973,199.81
s_463,99.086806,120.090892,208.35
s_464,99.647129,113.322732,194.22
s_465,104.951358,115.243893,208.05
s_466,105.256379,122.535381,202.91
s_467,94.528548,112.802501,195.42
s_468,95.462745,120.345381,194.32
s_469,107.145953,116.031617,201.00
s_470,91.369491,117.602766,193.10
s_471,93.365647,120.324198,186.94
s_472,96.619225,118.388737,198.16
s_473,91.422636,119.070739,185.35
s_474,86.216134,119.897681,179.53
s_475,101.707832,117.319038,202.79
s_476,88.287745,117.167762,185.11
s_477,84.135842,115.709563,183.43
s_478,85.564342,113.349756,184.67
s_479,85.855585,114.796997,183.20
